#           var1             var2            omega           -gamma      Re(dBy/dBz)      Im(dBy/dBz)       Re(dn/dBz)       Im(dn/dBz)
  1.29858449e-02   0.00000000e+00   1.29013727e-02   3.08577255e-24   4.96715260e-16   5.72957795e+05   1.02348019e+00   2.92999643e-17
  1.30668794e-02   0.00000000e+00   1.29813513e-02  -7.72948395e-24   1.78049075e-21   5.72957795e+05   1.02356357e+00   1.01925672e-16
  1.31484196e-02   0.00000000e+00   1.30618224e-02   4.70826492e-23  -1.07787086e-20   5.72957795e+05   1.02364748e+00   3.70257331e-19
  1.32304686e-02   0.00000000e+00   1.31427890e-02   4.80826775e-23  -9.14101279e-21   5.72957795e+05   1.02373192e+00   5.52313548e-17
  1.33130296e-02   0.00000000e+00   1.32242541e-02   2.67810626e-23   2.32998885e-17   5.72957795e+05   1.02381689e+00   6.80320149e-18
  1.33961058e-02   0.00000000e+00   1.33062207e-02  -3.61525392e-23   4.96930559e-16   5.72957795e+05   1.02390240e+00  -2.44483790e-17
  1.34797004e-02   0.00000000e+00   1.33886919e-02   3.36836614e-23  -5.78909345e-21   5.72957795e+05   1.02398845e+00   4.81229612e-17
  1.35638167e-02   0.00000000e+00   1.34716707e-02  -3.81106351e-23  -4.96995929e-16   5.72957795e+05   1.02407505e+00  -1.56950715e-17
  1.36484579e-02   0.00000000e+00   1.35551602e-02  -4.60797538e-23  -5.22638740e-16   5.72957795e+05   1.02416219e+00  -9.03834813e-17
  1.37336272e-02   0.00000000e+00   1.36391634e-02   9.13299856e-24  -9.56723408e-16   5.72957795e+05   1.02424988e+00  -2.14050881e-17
  1.38193281e-02   0.00000000e+00   1.37236836e-02   4.34412639e-23  -3.98797472e-16   5.72957795e+05   1.02433813e+00   6.69767139e-17
  1.39055637e-02   0.00000000e+00   1.38087239e-02   6.34749645e-23  -1.37455860e-20   5.72957795e+05   1.02442693e+00  -1.69514164e-16
  1.39923375e-02   0.00000000e+00   1.38942873e-02  -2.21916071e-23  -4.97213570e-16   5.72957795e+05   1.02451630e+00   1.20613682e-16
  1.40796527e-02   0.00000000e+00   1.39803771e-02   5.71440914e-23  -8.27597149e-16   5.72957795e+05   1.02460624e+00   1.39715882e-16
  1.41675128e-02   0.00000000e+00   1.40669965e-02   2.69999797e-23  -8.05365268e-16   5.72957795e+05   1.02469674e+00   8.05324223e-17
  1.42559212e-02   0.00000000e+00   1.41541486e-02  -3.96518229e-23  -2.11288258e-16   5.72957795e+05   1.02478782e+00  -7.90329265e-17
  1.43448812e-02   0.00000000e+00   1.42418368e-02  -5.27307051e-23   8.78265173e-16   5.72957795e+05   1.02487947e+00  -5.55673337e-17
